Rk,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Gerrit Cole,33,NYY,ALWS,1,0,1.000,2.17,5,5,0,0,0,0,29.0,27,13,7,1,10,0,22,0,0,0,124,2.03,1.276,8.4,0.3,3.1,6.8,2.20,,colege01
2,Jack Flaherty,28,LAD,NLWS,1,2,.333,7.36,5,5,0,0,0,0,22.0,24,18,18,6,9,0,15,1,0,0,98,4.34,1.500,9.8,2.5,3.7,6.1,1.67,,flaheja01
3,Sean Manaea*,32,NYM,NL,2,1,.667,4.74,4,4,0,0,0,0,19.0,17,11,10,3,8,0,19,2,0,0,83,4.80,1.316,8.1,1.4,3.8,9.0,2.38,,manaese01
4,Tarik Skubal*,27,DET,AL,1,1,.500,2.37,3,3,0,0,0,0,19.0,13,5,5,1,2,1,20,2,0,0,73,2.38,0.789,6.2,0.5,0.9,9.5,10.00,,skubata01
5,Yoshinobu Yamamoto,25,LAD,NLWS,2,0,1.000,3.86,4,4,0,0,0,0,18.2,12,8,8,3,6,0,15,1,0,1,74,3.11,0.964,5.8,1.4,2.9,7.2,2.50,,yamamyo01
6,Carlos Rodón*,31,NYY,ALWS,1,2,.333,5.60,4,4,0,0,0,0,17.2,21,11,11,5,1,0,25,0,0,1,75,1.72,1.245,10.7,2.5,0.5,12.7,25.00,,rodonca01
7,Luis Severino,30,NYM,NL,1,1,.500,3.24,3,3,0,0,0,0,16.2,17,9,6,2,6,0,13,1,0,0,73,4.43,1.380,9.2,1.1,3.2,7.0,2.17,,severlu01
8,Tanner Bibee,25,CLE,AL,0,1,.000,3.45,4,4,0,0,0,0,15.2,19,7,6,2,4,1,16,3,0,0,68,4.12,1.468,10.9,1.1,2.3,9.2,4.00,,bibeeta01
9,Luke Weaver,30,NYY,ALWS,1,0,1.000,1.76,12,0,8,0,0,4,15.1,8,3,3,2,2,0,16,1,1,0,56,2.46,0.652,4.7,1.2,1.2,9.4,8.00,,weavelu01
10,Walker Buehler,29,LAD,NLWS,1,1,.500,3.60,4,3,1,0,0,1,15.0,12,6,6,1,5,1,13,1,0,1,63,2.77,1.133,7.2,0.6,3.0,7.8,2.60,,buehlwa01
11,Jose Quintana*,35,NYM,NL,0,1,.000,3.14,3,3,0,0,0,0,14.1,11,6,5,1,7,0,13,1,0,0,63,3.93,1.256,6.9,0.6,4.4,8.2,1.86,,quintjo01
12,Yu Darvish,37,SDP,NL,1,1,.500,1.98,2,2,0,0,0,0,13.2,6,3,3,2,3,0,7,0,0,0,48,4.70,0.659,4.0,1.3,2.0,4.6,2.33,,darviyu01
13,David Peterson*,28,NYM,NL,1,0,1.000,2.92,5,1,1,0,0,1,12.1,14,5,4,1,8,0,8,0,0,1,57,4.87,1.784,10.2,0.7,5.8,5.8,1.00,,peterda01
14,Blake Treinen,36,LAD,NLWS,2,0,1.000,2.19,9,0,4,0,0,3,12.1,12,3,3,0,4,1,18,1,0,1,54,0.76,1.297,8.8,0.0,2.9,13.1,4.50,,treinbl01
15,Clay Holmes,31,NYY,ALWS,3,1,.750,2.25,13,0,1,0,0,0,12.0,8,3,3,1,5,0,12,1,0,0,48,2.86,1.083,6.0,0.8,3.8,9.0,2.40,,holmecl01
16,Michael King,29,SDP,NL,2,0,1.000,3.75,2,2,0,0,0,0,12.0,10,5,5,2,1,0,15,0,0,0,47,3.08,0.917,7.5,1.5,0.8,11.3,15.00,,kingmi01
17,Clarke Schmidt,28,NYY,ALWS,0,1,.000,5.25,3,3,0,0,0,0,12.0,11,7,7,2,7,0,9,1,0,0,54,3.55,1.500,8.3,1.5,5.3,6.8,1.29,,schmicl01
18,Matthew Boyd*,33,CLE,AL,0,0,,0.77,3,3,0,0,0,0,11.2,7,1,1,0,6,0,14,1,0,0,47,2.57,1.114,5.4,0.0,4.6,10.8,2.33,,boydma01
19,Cole Ragans*,26,KCR,AL,1,0,1.000,0.90,2,2,0,0,0,0,10.0,7,1,1,0,4,0,13,0,0,0,41,1.77,1.100,6.3,0.0,3.6,11.7,3.25,,raganco01
20,Cade Smith,25,CLE,AL,1,0,1.000,3.60,9,0,0,0,0,0,10.0,5,4,4,1,2,0,16,0,0,0,37,1.87,0.700,4.5,0.9,1.8,14.4,8.00,,smithca06
21,Seth Lugo,34,KCR,AL,0,0,,2.89,2,2,0,0,0,0,9.1,7,3,3,1,5,0,8,1,0,0,42,4.77,1.286,6.8,1.0,4.8,7.7,1.60,,lugose01
22,Ryan Brasier,36,LAD,NLWS,1,1,.500,5.00,8,2,0,0,0,0,9.0,8,5,5,4,3,0,7,0,0,0,36,6.57,1.222,8.0,4.0,3.0,7.0,2.33,,brasiry01
23,Michael Kopech,28,LAD,NLWS,1,0,1.000,3.00,10,1,2,0,0,0,9.0,5,3,3,1,7,1,10,0,0,2,39,1.65,1.333,5.0,1.0,7.0,10.0,1.43,,kopecmi01
24,Reese Olson,24,DET,AL,0,0,,2.00,2,1,0,0,0,0,9.0,8,2,2,1,2,0,8,1,0,0,38,3.83,1.111,8.0,1.0,2.0,8.0,4.00,,olsonre01
25,Edwin Díaz,30,NYM,NL,1,0,1.000,3.12,6,0,3,0,0,2,8.2,4,3,3,0,7,0,13,0,0,0,37,2.59,1.269,4.2,0.0,7.3,13.5,1.86,,diazed04
26,Brent Honeywell Jr.,29,LAD,NLWS,0,0,,9.35,3,0,1,0,0,0,8.2,12,9,9,1,3,0,2,4,0,0,43,4.42,1.731,12.5,1.0,3.1,2.1,0.67,,honeybr01
27,Tommy Kahnle,34,NYY,ALWS,1,1,.500,2.08,9,0,1,0,0,1,8.2,6,3,2,0,7,0,7,0,0,0,39,3.25,1.500,6.2,0.0,7.3,7.3,1.00,,kahnlto01
28,Michael Wacha,32,KCR,AL,0,1,.000,5.19,2,2,0,0,0,0,8.2,10,5,5,1,4,0,5,0,0,0,38,4.90,1.615,10.4,1.0,4.2,5.2,1.25,,wachami01
29,Reed Garrett,31,NYM,NL,1,0,1.000,5.40,7,0,0,0,0,0,8.1,5,5,5,2,2,0,10,1,1,0,31,4.97,0.840,5.4,2.2,2.2,10.8,5.00,,garrere01
30,Tim Herrin*,27,CLE,AL,1,0,1.000,1.08,9,0,0,0,0,0,8.1,6,1,1,0,5,0,6,0,0,1,33,3.53,1.320,6.5,0.0,5.4,6.5,1.20,,herriti01
31,Tim Hill*,34,NYY,ALWS,0,0,,1.08,10,0,0,0,0,0,8.1,7,2,1,0,2,0,3,0,0,0,32,2.03,1.080,7.6,0.0,2.2,3.2,1.50,,hillti01
32,Anthony Banda*,30,LAD,NLWS,0,0,,1.13,10,0,1,0,0,0,8.0,6,1,1,0,6,1,11,2,0,1,38,1.62,1.500,6.8,0.0,6.8,12.4,1.83,,bandaan01
33,Corbin Burnes,29,BAL,AL,0,1,.000,1.13,1,1,0,0,0,0,8.0,5,1,1,0,1,0,3,0,0,0,27,2.79,0.750,5.6,0.0,1.1,3.4,3.00,,burneco01
34,Emmanuel Clase,26,CLE,AL,0,2,.000,9.00,7,0,4,0,0,2,8.0,12,8,8,3,1,1,8,0,0,0,38,6.42,1.625,13.5,3.4,1.1,9.0,8.00,,claseem01
35,Luis Gil,26,NYY,ALWS,0,0,,6.75,2,2,0,0,0,0,8.0,8,6,6,2,5,0,4,0,0,0,36,1.96,1.625,9.0,2.3,5.6,4.5,0.80,,gillu01
36,Ryne Stanek,32,NYM,NL,1,0,1.000,3.38,7,0,3,0,0,0,8.0,5,3,3,1,3,0,8,0,0,0,33,3.92,1.000,5.6,1.1,3.4,9.0,2.67,,stanery01
37,Hunter Gaddis,26,CLE,AL,1,1,.500,4.91,8,0,1,0,0,0,7.1,8,7,4,2,5,1,12,1,0,0,36,5.89,1.773,9.8,2.5,6.1,14.7,2.40,,gaddihu01
38,José Buttó,26,NYM,NL,0,0,,6.43,6,0,2,0,0,0,7.0,6,6,5,2,3,0,8,1,0,0,32,6.31,1.286,7.7,2.6,3.9,10.3,2.67,,buttojo01
39,Landon Knack,26,LAD,NLWS,0,0,,7.71,3,0,1,0,0,0,7.0,8,6,6,2,4,1,5,0,0,0,33,3.64,1.714,10.3,2.6,5.1,6.4,1.25,,knackla01
40,Zack Wheeler,34,PHI,NL,0,0,,0.00,1,1,0,0,0,0,7.0,1,0,0,0,4,0,9,1,0,0,26,2.74,0.714,1.3,0.0,5.1,11.6,2.25,,wheelza01
41,Evan Phillips,29,LAD,NL,2,0,1.000,0.00,5,0,0,0,0,0,6.2,3,0,0,0,3,0,6,0,0,0,26,2.72,0.900,4.1,0.0,4.1,8.1,2.00,,phillev01
42,Ben Casparius,25,LAD,NLWS,1,0,1.000,1.42,4,1,2,0,0,0,6.1,3,1,1,0,5,0,5,0,0,0,27,1.85,1.263,4.3,0.0,7.1,7.1,1.00,,caspabe01
43,Phil Maton,31,NYM,NL,0,1,.000,8.53,6,0,1,0,0,0,6.1,11,6,6,4,4,0,6,1,0,0,33,11.85,2.368,15.6,5.7,5.7,8.5,1.50,,matonph01
44,Beau Brieske,26,DET,AL,0,1,.000,1.50,6,0,3,0,0,2,6.0,1,1,1,1,2,0,6,0,0,1,20,4.33,0.500,1.5,1.5,3.0,9.0,3.00,,briesbe01
45,Lucas Erceg,29,KCR,AL,0,0,,3.00,5,0,4,0,0,3,6.0,4,2,2,1,3,0,6,0,0,0,24,4.83,1.167,6.0,1.5,4.5,9.0,2.00,,erceglu01
46,Daniel Hudson,37,LAD,NLWS,0,1,.000,7.50,7,0,0,0,0,0,6.0,7,5,5,1,2,0,6,1,0,0,28,1.79,1.500,10.5,1.5,3.0,9.0,3.00,,hudsoda01
47,Will Vest,29,DET,AL,1,0,1.000,1.50,6,0,2,0,0,1,6.0,3,1,1,0,0,0,9,0,0,0,22,0.17,0.500,4.5,0.0,0.0,13.5,,,vestwi01
48,Hunter Brown,25,HOU,AL,0,0,,1.59,1,1,0,0,0,0,5.2,2,1,1,1,2,0,9,0,0,0,22,3.34,0.706,3.2,1.6,3.2,14.3,4.50,,brownhu01
49,Alex Cobb,36,CLE,AL,0,2,.000,7.94,2,2,0,0,0,0,5.2,8,5,5,1,4,1,5,0,0,0,29,5.81,2.118,12.7,1.6,6.4,7.9,1.25,,cobbal01
50,Tyler Holton*,28,DET,AL,0,1,.000,9.53,6,2,1,0,0,1,5.2,6,6,6,1,1,0,6,0,0,0,24,3.87,1.235,9.5,1.6,1.6,9.5,6.00,,holtoty01
51,Alex Vesia*,28,LAD,NLWS,0,0,,0.00,7,0,1,0,0,1,5.2,2,0,0,0,2,0,6,1,0,0,22,0.79,0.706,3.2,0.0,3.2,9.5,3.00,,vesiaal01
52,Jason Adam,32,SDP,NL,0,0,,3.38,5,0,0,0,0,0,5.1,4,2,2,1,0,0,6,0,0,0,20,3.35,0.750,6.8,1.7,0.0,10.1,,,adamja01
53,Mark Leiter Jr.,33,NYY,ALWS,1,0,1.000,1.69,6,0,2,0,0,0,5.1,3,1,1,0,5,2,5,0,0,0,24,2.32,1.500,5.1,0.0,8.4,8.4,1.00,,leitema02
54,Erik Sabrowski*,26,CLE,AL,0,0,,1.69,5,0,0,0,0,0,5.1,4,2,1,1,3,0,8,0,0,0,23,4.29,1.313,6.8,1.7,5.1,13.5,2.67,,sabroer01
55,Dylan Cease,28,SDP,NL,0,1,.000,14.40,2,2,0,0,0,0,5.0,10,8,8,2,3,0,6,0,0,0,28,7.77,2.600,18.0,3.6,5.4,10.8,2.00,,ceasedy01
56,Jake Cousins,29,NYY,ALWS,0,1,.000,9.00,6,0,0,0,0,0,5.0,6,5,5,0,4,0,7,1,0,0,26,1.09,2.000,10.8,0.0,7.2,12.6,1.75,,cousija01
57,Edgardo Henriquez,22,LAD,NL,0,0,,7.20,3,0,3,0,0,0,5.0,8,4,4,2,3,0,3,0,0,0,26,8.97,2.200,14.4,3.6,5.4,5.4,1.00,,henried01
58,Brant Hurter*,25,DET,AL,1,0,1.000,0.00,2,0,0,0,0,0,5.0,7,0,0,0,2,1,1,1,0,0,24,4.57,1.800,12.6,0.0,3.6,1.8,0.50,,hurtebr01
59,Tobias Myers,25,MIL,NL,0,0,,0.00,1,1,0,0,0,0,5.0,2,0,0,0,0,0,5,1,0,1,18,1.77,0.400,3.6,0.0,0.0,9.0,,,myersto01
60,Aaron Nola,31,PHI,NL,0,1,.000,7.20,1,1,0,0,0,0,5.0,5,4,4,2,2,0,8,0,0,0,22,6.37,1.400,9.0,3.6,3.6,14.4,4.00,,nolaaa01
61,Freddy Peralta,28,MIL,NL,0,0,,5.40,2,1,0,0,0,0,5.0,2,3,3,0,1,0,5,0,0,0,18,1.77,0.600,3.6,0.0,1.8,9.0,5.00,,peralfr01
62,Cristopher Sánchez*,27,PHI,NL,0,0,,3.60,1,1,0,0,0,0,5.0,5,2,2,1,1,0,5,0,0,0,21,4.37,1.200,9.0,1.8,1.8,9.0,5.00,,sanchcr01
63,Kodai Senga,31,NYM,NL,0,1,.000,12.60,3,2,0,0,0,0,5.0,6,7,7,1,7,0,4,1,0,1,29,8.97,2.600,10.8,1.8,12.6,7.2,0.57,,sengako01
64,Kris Bubic*,26,KCR,AL,0,1,.000,1.93,4,0,0,0,0,0,4.2,5,1,1,1,3,0,3,0,0,0,21,6.60,1.714,9.6,1.9,5.8,5.8,1.00,,bubickr01
65,Jeremiah Estrada,25,SDP,NL,0,0,,0.00,4,0,0,0,0,0,4.1,5,1,0,0,1,0,5,0,0,0,19,1.55,1.385,10.4,0.0,2.1,10.4,5.00,,estraje01
66,Tylor Megill,28,NYM,NL,0,1,.000,10.38,2,0,2,0,0,0,4.1,6,5,5,2,5,0,5,0,0,0,25,10.32,2.538,12.5,4.2,10.4,10.4,1.00,,megilty01
67,Tanner Scott*,29,SDP,NL,0,0,,0.00,5,0,2,0,0,0,4.1,2,0,0,0,2,1,7,0,0,0,17,1.32,0.923,4.2,0.0,4.2,14.5,3.50,,scottta01
