Rk,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
68,Ranger Suárez*,28,PHI,NL,0,0,,0.00,1,1,0,0,0,0,4.1,5,0,0,0,4,0,8,0,0,0,21,2.24,2.077,10.4,0.0,8.3,16.6,2.00,,suarera01
69,Framber Valdez*,30,HOU,AL,0,1,.000,6.23,1,1,0,0,0,0,4.1,7,3,3,0,2,0,3,0,0,0,21,3.17,2.077,14.5,0.0,4.2,6.2,1.50,,valdefr01
70,Pedro Avila,27,CLE,AL,1,0,1.000,0.00,3,0,1,0,0,0,4.0,0,0,0,0,2,1,3,0,0,0,13,3.17,0.500,0.0,0.0,4.5,6.8,1.50,,avilape01
71,Zach Eflin,30,BAL,AL,0,0,,2.25,1,1,0,0,0,0,4.0,4,1,1,0,1,0,3,1,0,0,18,3.17,1.250,9.0,0.0,2.3,6.8,3.00,,eflinza01
72,Sam Long*,28,KCR,AL,0,0,,2.25,5,0,1,0,0,0,4.0,1,1,1,0,4,0,2,0,0,0,17,5.17,1.250,2.3,0.0,9.0,4.5,0.50,,longsa01
73,Eli Morgan,28,CLE,AL,0,0,,2.25,6,0,1,0,0,0,4.0,2,2,1,0,2,0,6,0,0,1,17,1.67,1.000,4.5,0.0,4.5,13.5,3.00,,morgael01
74,Ángel Zerpa*,24,KCR,AL,2,0,1.000,2.25,5,0,0,0,0,0,4.0,2,1,1,0,3,0,5,0,0,0,16,2.92,1.250,4.5,0.0,6.8,11.3,1.67,,zerpaan01
75,Orion Kerkering,23,PHI,NL,0,0,,2.45,4,0,0,0,0,0,3.2,4,1,1,1,2,0,5,0,0,1,17,5.62,1.636,9.8,2.5,4.9,12.3,2.50,,kerkeor01
76,Frankie Montas,31,MIL,NL,0,0,,2.45,1,1,0,0,0,0,3.2,6,3,1,0,1,0,3,0,0,0,18,2.35,1.909,14.7,0.0,2.5,7.4,3.00,,montafr02
77,Joe Musgrove,31,SDP,NL,0,0,,2.45,1,1,0,0,0,0,3.2,1,1,1,0,0,0,4,0,0,0,12,0.99,0.273,2.5,0.0,0.0,9.8,,,musgrjo01
78,John Schreiber,30,KCR,AL,0,0,,0.00,5,0,0,0,0,0,3.2,0,0,0,0,4,1,4,0,0,1,15,4.26,1.091,0.0,0.0,9.8,9.8,1.00,,schrejo01
79,Danny Young*,30,NYM,NL,0,0,,7.36,2,0,1,0,0,0,3.2,4,3,3,0,3,0,3,0,0,0,18,3.99,1.909,9.8,0.0,7.4,7.4,1.00,,youngda02
80,Robert Suarez,33,SDP,NL,0,0,,0.00,3,0,3,0,0,2,3.1,1,0,0,0,0,0,2,0,0,0,11,1.97,0.300,2.7,0.0,0.0,5.4,,,suarero01
81,Aaron Civale,29,MIL,NL,0,0,,0.00,1,0,1,0,0,0,3.0,0,0,0,0,1,0,2,0,0,0,10,2.83,0.333,0.0,0.0,3.0,6.0,2.00,,civalaa01
82,Sean Guenther*,28,DET,AL,1,0,1.000,3.00,4,0,0,0,0,0,3.0,2,1,1,0,1,0,0,0,0,0,11,4.17,1.000,6.0,0.0,3.0,0.0,0.00,,guentse01
83,Keider Montero,23,DET,AL,0,0,,0.00,2,1,1,0,0,0,3.0,1,0,0,0,0,0,3,0,0,0,10,1.17,0.333,3.0,0.0,0.0,9.0,,,monteke01
84,Andrew Walters,23,CLE,AL,0,0,,3.00,4,0,1,0,0,0,3.0,1,1,1,0,2,0,4,0,0,1,12,2.50,1.000,3.0,0.0,6.0,12.0,2.00,,waltean01
85,Aaron Bummer*,30,ATL,NL,0,0,,0.00,1,0,0,0,0,0,2.2,0,0,0,0,1,0,1,0,0,0,7,3.54,0.375,0.0,0.0,3.4,3.4,1.00,,bummeaa01
86,Carlos Estévez,31,PHI,NL,0,0,,3.38,3,0,1,0,0,0,2.2,2,2,1,1,1,0,4,0,0,0,12,6.17,1.125,6.8,3.4,3.4,13.5,4.00,,estevca01
87,Bryan Hoeing,27,SDP,NL,1,0,1.000,10.13,3,0,0,0,0,0,2.2,5,3,3,2,1,0,2,0,0,0,14,12.54,2.250,16.9,6.8,3.4,6.8,2.00,,hoeinbr01
88,Joey Cantillo*,24,CLE,AL,0,0,,3.86,3,0,1,0,0,0,2.1,0,1,1,0,4,0,3,0,0,4,10,5.74,1.714,0.0,0.0,15.4,11.6,0.75,,cantijo01
89,Brusdar Graterol,25,LAD,WS,0,0,,3.86,3,0,0,0,0,0,2.1,2,1,1,0,4,0,1,0,0,0,13,,2.571,7.7,0.0,15.4,3.9,0.25,,gratebr01
90,Josh Hader*,30,HOU,AL,0,0,,3.86,2,0,2,0,0,0,2.1,4,1,1,0,2,0,0,0,0,0,12,5.74,2.571,15.4,0.0,7.7,0.0,0.00,,haderjo01
91,Daysbel Hernández,27,ATL,NL,0,0,,0.00,1,0,0,0,0,0,2.1,1,0,0,0,1,0,3,0,0,0,9,1.88,0.857,3.9,0.0,3.9,11.6,3.00,,hernada03
92,Michael Lorenzen,32,KCR,AL,0,1,.000,3.86,2,0,1,0,0,0,2.1,3,1,1,0,1,0,3,0,0,0,12,1.88,1.714,11.6,0.0,3.9,11.6,3.00,,lorenmi01
93,Tim Mayza*,32,NYY,ALWS,0,0,,0.00,3,0,1,0,0,0,2.1,2,0,0,0,2,0,1,0,0,0,11,3.52,1.714,7.7,0.0,7.7,3.9,0.50,,mayzati01
94,Nick Mears,27,MIL,NL,0,0,,0.00,2,0,0,0,0,0,2.1,0,0,0,0,0,0,3,0,0,0,7,0.60,0.000,0.0,0.0,0.0,11.6,,,mearsni01
95,Trevor Megill,30,MIL,NL,0,0,,0.00,2,0,0,0,0,0,2.1,0,0,0,0,0,0,4,1,1,0,8,1.02,0.000,0.0,0.0,0.0,15.4,,,megiltr01
96,Adrián Morejón*,25,SDP,NL,0,1,.000,3.86,2,0,0,0,0,0,2.1,2,1,1,0,2,1,1,0,0,1,10,4.88,1.714,7.7,0.0,7.7,3.9,0.50,,morejad01
97,Gavin Williams,24,CLE,AL,0,0,,11.57,1,1,0,0,0,0,2.1,3,3,3,2,0,0,4,0,0,0,10,10.88,1.286,11.6,7.7,0.0,15.4,,,williga01
98,Ronel Blanco,30,HOU,AL,0,0,,0.00,1,0,0,0,0,0,2.0,1,0,0,0,3,0,4,0,0,0,10,3.67,2.000,4.5,0.0,13.5,18.0,1.33,,blancro01
99,Jesse Chavez,40,ATL,NL,0,0,,0.00,1,0,0,0,0,0,2.0,0,0,0,0,0,0,1,0,0,0,6,2.17,0.000,0.0,0.0,0.0,4.5,,,chaveje01
100,Nestor Cortes*,29,NYY,WS,0,0,,9.00,2,0,1,0,0,0,2.0,1,2,2,1,1,1,1,0,0,0,8,,1.000,4.5,4.5,4.5,4.5,1.00,,cortene01
101,Max Fried*,30,ATL,NL,0,1,.000,22.50,1,1,0,0,0,0,2.0,8,5,5,1,0,0,2,0,0,0,15,7.67,4.000,36.0,4.5,0.0,9.0,,,friedma01
102,Luke Jackson,32,ATL,NL,0,0,,4.50,1,0,1,0,0,0,2.0,1,1,1,1,0,0,2,0,0,0,7,7.67,0.500,4.5,4.5,0.0,9.0,,,jackslu01
103,Alek Jacob,26,SDP,NL,0,0,,4.50,2,0,1,0,0,0,2.0,1,3,1,1,1,0,2,1,0,0,10,10.67,1.000,4.5,4.5,4.5,9.0,2.00,,jacobal01
104,Matt Strahm*,32,PHI,NL,0,0,,18.00,3,0,1,0,0,0,2.0,4,4,4,1,0,0,1,0,0,0,10,8.67,2.000,18.0,4.5,0.0,4.5,,,strahma01
105,Seranthony Domínguez,29,BAL,AL,0,0,,0.00,2,0,2,0,0,0,1.2,0,0,0,0,0,0,2,0,0,0,5,0.77,0.000,0.0,0.0,0.0,10.8,,,dominse01
106,Ian Hamilton,29,NYY,AL,0,0,,5.40,2,0,0,0,0,0,1.2,1,1,1,0,1,0,3,0,0,0,6,1.37,1.200,5.4,0.0,5.4,16.2,3.00,,hamilia01
107,Brenan Hanifee,26,DET,AL,0,0,,0.00,1,0,0,0,0,0,1.2,1,0,0,0,1,0,2,0,0,0,7,2.57,1.200,5.4,0.0,5.4,10.8,2.00,,hanifbr01
108,Jackson Jobe,21,DET,AL,0,0,,16.20,2,0,0,0,0,0,1.2,5,3,3,0,0,0,0,1,0,0,12,4.97,3.000,27.0,0.0,0.0,0.0,,,jobeja01
109,Dylan Lee*,29,ATL,NL,0,0,,0.00,1,0,0,0,0,0,1.2,1,0,0,0,0,0,0,0,0,0,6,3.17,0.600,5.4,0.0,0.0,0.0,,,leedy01
110,Joel Payamps,30,MIL,NL,0,1,.000,16.20,2,0,0,0,0,0,1.2,3,3,3,0,3,1,1,0,0,0,11,7.37,3.600,16.2,0.0,16.2,5.4,0.33,,payamjo01
111,Joe Ross,31,MIL,NL,1,0,1.000,0.00,2,0,1,0,0,0,1.2,0,0,0,0,1,0,0,0,0,0,5,4.97,0.600,0.0,0.0,5.4,0.0,0.00,,rossjo01
112,Devin Williams,29,MIL,NL,0,1,.000,21.60,2,0,1,0,0,1,1.2,3,4,4,1,1,0,1,1,0,0,10,13.37,2.400,16.2,5.4,5.4,5.4,1.00,,willide03
113,Bryan Abreu,27,HOU,AL,0,0,,0.00,1,0,0,0,0,0,1.1,0,0,0,0,1,0,2,0,0,0,5,2.42,0.750,0.0,0.0,6.8,13.5,2.00,,abreubr01
114,Yennier Cano,30,BAL,AL,0,0,,0.00,1,0,0,0,0,0,1.1,2,0,0,0,1,0,1,0,0,0,6,3.92,2.250,13.5,0.0,6.8,6.8,1.00,,canoye01
115,Jeff Hoffman,31,PHI,NL,1,2,.333,40.50,3,0,1,0,0,0,1.1,3,6,6,0,2,0,1,1,0,2,10,8.42,3.750,20.3,0.0,13.5,6.8,0.50,,hoffmje02
116,Ben Lively,32,CLE,AL,0,0,,0.00,1,0,1,0,0,0,1.1,1,0,0,0,1,0,2,0,0,0,6,2.42,1.500,6.8,0.0,6.8,13.5,2.00,,livelbe01
117,Wandy Peralta*,32,SDP,NL,0,0,,6.75,1,0,0,0,0,0,1.1,2,1,1,1,0,0,3,0,0,1,6,8.42,1.500,13.5,6.8,0.0,20.3,,,peralwa01
118,José Ruiz,29,PHI,NL,0,0,,6.75,2,0,0,0,0,0,1.1,4,1,1,1,0,0,0,0,0,0,7,12.92,3.000,27.0,6.8,0.0,0.0,,,ruizjo01
119,AJ Smith-Shawver,21,ATL,NL,0,1,.000,20.25,1,1,0,0,0,0,1.1,4,3,3,1,0,0,1,1,0,0,9,13.67,3.000,27.0,6.8,0.0,6.8,,,smithaj01
120,Tanner Banks*,32,PHI,NL,0,0,,9.00,1,0,1,0,0,0,1.0,2,1,1,0,0,0,2,0,0,0,5,-0.83,2.000,18.0,0.0,0.0,18.0,,,banksta01
121,Joe Jiménez,29,ATL,NL,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,1,0,1,0,0,0,4,4.17,1.000,0.0,0.0,9.0,9.0,1.00,,jimenjo02
122,Pierce Johnson,33,ATL,NL,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,3.17,0.000,0.0,0.0,0.0,0.0,,,johnspi01
123,Yuki Matsui*,28,SDP,NL,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,1,0,0,0,4,1.17,1.000,9.0,0.0,0.0,9.0,,,matsuyu01
124,Keegan Akin*,29,BAL,AL,0,0,,0.00,1,0,0,0,0,0,0.2,0,0,0,0,1,0,0,0,0,0,3,7.67,1.500,0.0,0.0,13.5,0.0,0.00,,akinke01
125,José Alvarado*,29,PHI,NL,0,0,,27.00,1,0,0,0,0,0,0.2,1,2,2,0,2,0,1,0,0,0,5,9.17,4.500,13.5,0.0,27.0,13.5,0.50,,alvarjo03
126,Danny Coulombe*,34,BAL,AL,0,0,,0.00,1,0,0,0,0,0,0.2,1,0,0,0,0,0,1,0,0,0,3,0.17,1.500,13.5,0.0,0.0,13.5,,,couloda01
127,Bryan King*,27,HOU,AL,0,0,,0.00,1,0,0,0,0,0,0.2,1,0,0,0,0,0,1,0,0,0,3,0.17,1.500,13.5,0.0,0.0,13.5,,,kingbr02
128,Jared Koenig*,30,MIL,NL,0,0,,0.00,1,0,0,0,0,0,0.2,1,0,0,0,0,0,0,0,0,0,3,3.17,1.500,13.5,0.0,0.0,0.0,,,koenija01
129,Ty Madden,24,DET,AL,0,0,,27.00,1,0,0,0,0,0,0.2,1,2,2,0,3,1,1,0,0,0,6,13.67,6.000,13.5,0.0,40.5,13.5,0.33,,maddety01
130,Héctor Neris,35,HOU,AL,0,0,,0.00,1,0,0,0,0,0,0.2,0,0,0,0,1,0,2,0,0,0,3,1.67,1.500,0.0,0.0,13.5,27.0,2.00,,nerishe01
131,Ryan Pressly,35,HOU,AL,0,1,.000,40.50,1,0,0,0,0,0,0.2,2,3,3,0,1,0,2,0,0,1,5,1.67,4.500,27.0,0.0,13.5,27.0,2.00,,pressry01
132,Gregory Soto*,29,BAL,AL,0,0,,0.00,1,0,0,0,0,0,0.2,0,0,0,0,1,0,1,0,0,0,3,4.67,1.500,0.0,0.0,13.5,13.5,1.00,,sotogr01
133,Jacob Webb,30,BAL,AL,0,0,,0.00,1,0,0,0,0,0,0.2,0,0,0,0,1,0,2,1,0,0,4,6.17,1.500,0.0,0.0,13.5,27.0,2.00,,webbja01
134,Caleb Ferguson*,27,HOU,AL,0,0,,0.00,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,3.17,0.000,0.0,0.0,0.0,0.0,,,ferguca01
135,Jason Foley,28,DET,AL,0,0,,27.00,1,0,0,0,0,0,0.1,3,1,1,0,0,0,0,0,0,0,4,3.17,9.000,81.0,0.0,0.0,0.0,,,foleyja01
136,Michael Grove,27,LAD,NL,0,0,,27.00,1,0,0,0,0,0,0.1,1,1,1,1,0,0,1,0,0,0,2,36.17,3.000,27.0,27.0,0.0,27.0,,,grovemi01
137,Cionel Pérez*,28,BAL,AL,0,1,.000,27.00,1,0,0,0,0,0,0.1,2,1,1,0,0,0,1,0,0,0,3,-2.83,6.000,54.0,0.0,0.0,27.0,,,perezci01
138,Brady Singer,27,KCR,AL,0,0,,0.00,1,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0,0,1,-2.83,0.000,0.0,0.0,0.0,27.0,,,singebr01
139,Aaron Ashby*,26,MIL,NL,0,0,,,1,0,0,0,0,0,0.0,3,2,2,0,2,1,0,0,0,1,5,,,,,,,0.00,,ashbyaa01
,League Average,,,,,,.500,3.97,,,,,,,,,,,,,,,,,,,3.72,1.300,7.8,1.2,3.9,8.8,2.24,,-9999